AK|317|02282
AK|318|02230
AK|319|02100
AK|320|02105
AK|321|02105
AK|322|02105
AK|323|02220
AK|324|02105
AK|325|02110
AK|326|02195
AK|327|02198
AK|328|02198
AK|329|02275
AK|330|02130
AK|331|02198
AK|332|02198
AK|701|02020
AK|702|02020
AK|703|02020
AK|704|02020
AK|711|02170
AK|712|02170
AK|713|02170
AK|714|02170
AK|721|02122
AK|722|02122
AK|725|02122
AK|726|02122
AK|727|02122
AK|728|02063
AK|729|02122
AK|731|02063
AK|732|02063
AK|733|02122
AK|734|02122
AK|735|02063
AK|741|02066
AK|742|02066
AK|743|02066
AK|744|02066
AK|745|02170
AK|746|02170
AK|747|02170
AK|748|02170
AK|749|02066
AK|750|02066
AK|751|02066
AK|752|02050
AK|753|02050
AK|754|02050
AK|755|02050
AK|756|02050
AK|757|02050
AK|761|02164
AK|762|02164
AK|763|02060
AK|764|02070
AK|765|02070
AK|766|02164
AK|771|02150
AK|772|02150
AK|773|02164
AK|781|02013
AK|785|02016
AK|787|02016
AK|791|02016
AK|795|02016
AK|901|02185
AK|902|02185
AK|903|02185
AK|904|02185
AK|905|02185
AK|906|02185
AK|907|02185
AK|908|02185
AK|909|02185
AK|910|02185
AK|911|02290
AK|912|02290
AK|913|02188
AK|914|02188
AK|915|02188
AK|916|02188
AK|917|02188
AK|918|02188
AK|919|02188
AK|920|02180
AK|921|02180
AK|922|02180
AK|923|02180
AK|924|02180
AK|925|02158
AK|926|02158
AK|927|02180
AK|928|02290
AK|929|02290
AK|930|02290
AK|931|02290
AK|932|02290
AK|933|02290
AK|934|02290
AK|935|02240
AK|936|02240
AK|937|02240
AK|938|02090
AK|939|02090
AK|939|02240
AK|940|02090
AK|941|02090
AK|942|02090
AK|943|02090
AK|944|02090
AK|945|02290
AK|946|02290
AK|947|02068
AK|948|02068
AK|949|02240
AK|950|02240
AK|951|02290
AK|952|02290
AK|953|02240
AL|001|01077
AL|002|01033
AL|003|01059
AL|004|01079
AL|005|01083
AL|006|01089
AL|007|01103
AL|008|01095
AL|009|01071
AL|010|01049
AL|011|01093
AL|012|01075
AL|013|01057
AL|014|01133
AL|015|01127
AL|016|01043
AL|017|01009
AL|018|01055
AL|019|01015
AL|020|01019
AL|021|01029
AL|022|01107
AL|023|01125
AL|024|01073
AL|025|01117
AL|026|01115
AL|027|01121
AL|028|01027
AL|029|01111
AL|030|01119
AL|031|01063
AL|032|01065
AL|033|01105
AL|034|01007
AL|035|01021
AL|036|01037
AL|037|01123
AL|038|01017
AL|039|01091
AL|040|01047
AL|041|01001
AL|042|01085
AL|043|01051
AL|044|01101
AL|045|01087
AL|046|01011
AL|047|01081
AL|048|01113
